ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,vwa-menglian,,Menglian,39,?,classifier for picture ,one picture ,,,,
,vwa-menglian,,Menglian,40,?,classifier for grain of rice ,one grain of rice ,,,,
,vwa-menglian,,Menglian,41,bla,classifier for tea leaf ,one tea leaf ,,,,
,vwa-menglian,,Menglian,42,bui,classifier for cup of tea ,one cup of tea ,,,,
,vwa-menglian,,Menglian,43,bui,classifier for cup of water ,one cup of water ,,,,
,vwa-menglian,,Menglian,44,glom,classifier for bowl of rice ,one bowl of rice ,,,,
,vwa-menglian,,Menglian,45,mu,classifier for bed ,one bed ,,,,
,vwa-menglian,,Menglian,46,mu,classifier for fan ,one fan ,,,,
,vwa-menglian,,Menglian,47,mu,classifier for light (bulb) ,one light (bulb) ,,,,
,vwa-menglian,,Menglian,48,mu,classifier for ball,one ball,,,,
,vwa-menglian,,Menglian,49,mu,classifier for elephant,one elephant,,,,
,vwa-menglian,,Menglian,50,gə,classifier for king,one king,,,,
,vwa-menglian,,Menglian,51,mu,classifier for aeroplane,one aeroplane,,,,
,vwa-menglian,,Menglian,52,mu ,classifier for tiger,one tiger,,,,
,vwa-menglian,,Menglian,53,mu,classifier for kettle,one kettle,,,,
,vwa-menglian,,Menglian,54,mu,classifier for drum,one drum,,,,
,vwa-menglian,,Menglian,55,mu,classifier for egg,one egg,,,,
,vwa-menglian,,Menglian,56,mu,classifier for eye ,one eye ,,,,
,vwa-menglian,,Menglian,57,mu,classifier for arrow,one arrow,,,,
,vwa-menglian,,Menglian,58,mu,classifier for biscuit ,one biscuit ,,,,
,vwa-menglian,,Menglian,59,mu,classifier for mushroom ,one mushroom ,,,,
,vwa-menglian,,Menglian,60,mu,classifier for street ,one street ,,,,
,vwa-menglian,,Menglian,61,mu,classifier for comb,one comb,,,,
,vwa-menglian,,Menglian,62,mu,classifier for cow ,one cow ,,,,
,vwa-menglian,,Menglian,63,mu,classifier for bull,one bull,,,,
,vwa-menglian,,Menglian,64,?,classifier for bamboo,one bamboo,,,,
,vwa-menglian,,Menglian,65,?,classifier for scar,one scar,,,,
,vwa-menglian,,Menglian,66,mu,classifier for child,one child,,,,
,vwa-menglian,,Menglian,67,mu,classifier for chilli,one chilli,,,,
,vwa-menglian,,Menglian,68,mu,classifier for sound,one sound,,,,
,vwa-menglian,,Menglian,69,mu,classifier for bag,one bag,,,,
,vwa-menglian,,Menglian,70,mu,classifier for toothbrush,one toothbrush,,,,
,vwa-menglian,,Menglian,71,?,classifier for ear,one ear,,,,
,vwa-menglian,,Menglian,72,d͡zʌŋ,classifier for paper,one paper,,,,
,vwa-menglian,,Menglian,73,mu,classifier for mirror,one mirror,,,,
,vwa-menglian,,Menglian,74,blʌ,classifier for book,one book,,,,
,wbm-xiaomenge,,Xiaomenge,1, mu,classifier for dog ,one dog,,,,
,wbm-xiaomenge,,Xiaomenge,2,mu,classifier for cat ,one cat,,,,
,wbm-xiaomenge,,Xiaomenge,3,mu,classifier for chicken ,one chicken ,,,,
,wbm-xiaomenge,,Xiaomenge,4,mu,classifier for pig ,one pig ,,,,
,wbm-xiaomenge,,Xiaomenge,5,mu,classifier for cow ,one cow ,,,,
,wbm-xiaomenge,,Xiaomenge,6,mu,classifier for snake ,one snake ,,,,
,wbm-xiaomenge,,Xiaomenge,7,mu,classifier for fish ,one fish ,,,,
,wbm-xiaomenge,,Xiaomenge,8,lu,classifier for hat ,one hat ,,,,
,wbm-xiaomenge,,Xiaomenge,9,pʰy,classifier for trousers ,one trousers ,,,,
,wbm-xiaomenge,,Xiaomenge,10,pʰy,classifier for shirt ,one shirt ,,,,
,wbm-xiaomenge,,Xiaomenge,11,ku,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,wbm-xiaomenge,,Xiaomenge,12,kʰɔn,classifier for chopstick (single) ,one chopstick (single) ,,,,
,wbm-xiaomenge,,Xiaomenge,13,ku,classifier for shoe (pair),one shoe (pair),,,,
,wbm-xiaomenge,,Xiaomenge,14,kʰɔn,classifier for shoe (single),one shoe (single),,,,
,wbm-xiaomenge,,Xiaomenge,15,mu,classifier for cushion ,one cushion ,,,,
,wbm-xiaomenge,,Xiaomenge,16,sklum,classifier for flower ,one flower ,,,,
,wbm-xiaomenge,,Xiaomenge,17,lɛŋ,classifier for tree ,one tree ,,,,
,wbm-xiaomenge,,Xiaomenge,18,mu/lʌŋ,classifier for house,one house,,,,
,wbm-xiaomenge,,Xiaomenge,19,luk,classifier for table ,one table ,,,,
,wbm-xiaomenge,,Xiaomenge,20,mu,classifier for chair ,one chair ,,,,
,wbm-xiaomenge,,Xiaomenge,21,lɛŋ,classifier for pen ,one pen ,,,,
,wbm-xiaomenge,,Xiaomenge,22,mʌ,classifier for spoon ,one spoon ,,,,
,wbm-xiaomenge,,Xiaomenge,23,gɔŋ,classifier for noodle ,one noodle ,,,,
,wbm-xiaomenge,,Xiaomenge,24,blʌ,classifier for leaf ,one leaf ,,,,
,wbm-xiaomenge,,Xiaomenge,25,gə,classifier for room ,one room ,,,,
,wbm-xiaomenge,,Xiaomenge,26,gə,classifier for person ,one person ,,,,
,wbm-xiaomenge,,Xiaomenge,27,gə,classifier for teacher ,one teacher ,,,,
,wbm-xiaomenge,,Xiaomenge,28,mu,classifier for spider ,one spider ,,,,
,wbm-xiaomenge,,Xiaomenge,29,lu,classifier for stone ,one stone ,,,,
,wbm-xiaomenge,,Xiaomenge,30,mu,classifier for boat ,one boat ,,,,
,wbm-xiaomenge,,Xiaomenge,31,mu,classifier for banana ,one banana ,,,,
,wbm-xiaomenge,,Xiaomenge,32,mu,classifier for papaya,one papaya,,,,
,wbm-xiaomenge,,Xiaomenge,33,glɔn,classifier for cloud ,one cloud ,,,,
,wbm-xiaomenge,,Xiaomenge,34,kʰɔn,classifier for hand ,one hand ,,,,
,wbm-xiaomenge,,Xiaomenge,35,?,classifier for finger ,one finger ,,,,
,wbm-xiaomenge,,Xiaomenge,36,?,classifier for leg ,one leg ,,,,
,wbm-xiaomenge,,Xiaomenge,37,lʌŋ,classifier for car ,one car ,,,,
,wbm-xiaomenge,,Xiaomenge,38,bʌ,classifier for door ,one door ,,,,
,wbm-xiaomenge,,Xiaomenge,39,?,classifier for picture ,one picture ,,,,
,wbm-xiaomenge,,Xiaomenge,40,mu,classifier for grain of rice ,one grain of rice ,,,,
,wbm-xiaomenge,,Xiaomenge,41,blʌ,classifier for tea leaf ,one tea leaf ,,,,
,wbm-xiaomenge,,Xiaomenge,42,d͡zu,classifier for cup of tea ,one cup of tea ,,,,
,wbm-xiaomenge,,Xiaomenge,43,d͡zu,classifier for cup of water ,one cup of water ,,,,
,wbm-xiaomenge,,Xiaomenge,44,glɔm,classifier for bowl of rice ,one bowl of rice ,,,,
,wbm-xiaomenge,,Xiaomenge,45,mu,classifier for bed ,one bed ,,,,
,wbm-xiaomenge,,Xiaomenge,46,mu,classifier for fan ,one fan ,,,,
,wbm-xiaomenge,,Xiaomenge,47,mu,classifier for light (bulb) ,one light (bulb) ,,,,
,wbm-xiaomenge,,Xiaomenge,48,mu ,classifier for ball,one ball,,,,
,wbm-xiaomenge,,Xiaomenge,49,mu,classifier for elephant,one elephant,,,,
,wbm-xiaomenge,,Xiaomenge,50,?,classifier for king,one king,,,,
,wbm-xiaomenge,,Xiaomenge,51,lʌŋ,classifier for aeroplane,one aeroplane,,,,
,wbm-xiaomenge,,Xiaomenge,52,?,classifier for tiger,one tiger,,,,
,wbm-xiaomenge,,Xiaomenge,53,mu,classifier for kettle,one kettle,,,,
,wbm-xiaomenge,,Xiaomenge,54,lu,classifier for drum,one drum,,,,
,wbm-xiaomenge,,Xiaomenge,55,mu,classifier for egg,one egg,,,,
,wbm-xiaomenge,,Xiaomenge,56,kʰɔn,classifier for eye ,one eye ,,,,
,wbm-xiaomenge,,Xiaomenge,57,mʌ,classifier for arrow,one arrow,,,,
,wbm-xiaomenge,,Xiaomenge,58,mu,classifier for biscuit ,one biscuit ,,,,
,wbm-xiaomenge,,Xiaomenge,59,blʌ,classifier for mushroom ,one mushroom ,,,,
,wbm-xiaomenge,,Xiaomenge,60,si,classifier for street ,one street ,,,,
,wbm-xiaomenge,,Xiaomenge,61,di,classifier for comb,one comb,,,,
,wbm-xiaomenge,,Xiaomenge,62,mu,classifier for cow ,one cow ,,,,
,wbm-xiaomenge,,Xiaomenge,63,?,classifier for bull,one bull,,,,
,wbm-xiaomenge,,Xiaomenge,64,gɔn,classifier for bamboo,one bamboo,,,,
,wbm-xiaomenge,,Xiaomenge,65,?,classifier for scar,one scar,,,,
,wbm-xiaomenge,,Xiaomenge,66,gə,classifier for child,one child,,,,
,wbm-xiaomenge,,Xiaomenge,67,mu,classifier for chilli,one chilli,,,,
,wbm-xiaomenge,,Xiaomenge,68,?,classifier for sound,one sound,,,,
,wbm-xiaomenge,,Xiaomenge,69,lu,classifier for bag,one bag,,,,
,wbm-xiaomenge,,Xiaomenge,70,mu,classifier for toothbrush,one toothbrush,,,,
,wbm-xiaomenge,,Xiaomenge,71,blʌ,classifier for ear,one ear,,,,
,wbm-xiaomenge,,Xiaomenge,72,blʌ,classifier for paper,one paper,,,,
,wbm-xiaomenge,,Xiaomenge,73,?,classifier for mirror,one mirror,,,,
,wbm-xiaomenge,,Xiaomenge,74,bu,classifier for book,one book,,,,
,vwa-wengwa,,Wengwa,1,do,classifier for dog ,one dog,,,,
,vwa-wengwa,,Wengwa,2,do,classifier for cat ,one cat,,,,
,vwa-wengwa,,Wengwa,3,do,classifier for chicken ,one chicken ,,,,
,vwa-wengwa,,Wengwa,4,do,classifier for pig ,one pig ,,,,
,vwa-wengwa,,Wengwa,5,do,classifier for cow ,one cow ,,,,
,vwa-wengwa,,Wengwa,6,do,classifier for snake ,one snake ,,,,
,vwa-wengwa,,Wengwa,7,do,classifier for fish ,one fish ,,,,
,vwa-wengwa,,Wengwa,8,mu,classifier for hat ,one hat ,,,,
,vwa-wengwa,,Wengwa,9,pʰy,classifier for trousers ,one trousers ,,,,
,vwa-wengwa,,Wengwa,10,pʰy,classifier for shirt ,one shirt ,,,,
,vwa-wengwa,,Wengwa,11,gu,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,vwa-wengwa,,Wengwa,12,dɛŋ,classifier for chopstick (single) ,one chopstick (single) ,,,,
,vwa-wengwa,,Wengwa,13,gu,classifier for shoe (pair),one shoe (pair),,,,
,vwa-wengwa,,Wengwa,14,dɛŋ,classifier for shoe (single),one shoe (single),,,,
,vwa-wengwa,,Wengwa,15,mu,classifier for cushion ,one cushion ,,,,
,vwa-wengwa,,Wengwa,16,(m)blɔk,classifier for flower ,one flower ,,,,
,vwa-wengwa,,Wengwa,17,,classifier for tree ,one tree ,,,,
,vwa-wengwa,,Wengwa,18,lʌŋ,classifier for house,one house,,,,
,vwa-wengwa,,Wengwa,19,[did not use a classifier],classifier for table ,one table ,,,,
,vwa-wengwa,,Wengwa,20,[did not use a classifier],classifier for chair ,one chair ,,,,
,vwa-wengwa,,Wengwa,21,[did not use a classifier],classifier for pen ,one pen ,,,,
,vwa-wengwa,,Wengwa,22,[did not use a classifier],classifier for spoon ,one spoon ,,,,
,vwa-wengwa,,Wengwa,23,[did not use a classifier],classifier for noodle ,one noodle ,,,,
,vwa-wengwa,,Wengwa,24,blʌ,classifier for leaf ,one leaf ,,,,
,vwa-wengwa,,Wengwa,25,hɔŋ,classifier for room ,one room ,,,,
,vwa-wengwa,,Wengwa,26,gə,classifier for person ,one person ,,,,
,vwa-wengwa,,Wengwa,27,-,classifier for teacher ,one teacher ,,,,
,vwa-wengwa,,Wengwa,28,do,classifier for spider ,one spider ,,,,
,vwa-wengwa,,Wengwa,29,mu,classifier for stone ,one stone ,,,,
,vwa-wengwa,,Wengwa,30,[did not use a classifier],classifier for boat ,one boat ,,,,
,vwa-wengwa,,Wengwa,31,mu,classifier for banana ,one banana ,,,,
,vwa-wengwa,,Wengwa,32,mu,classifier for papaya,one papaya,,,,
,vwa-wengwa,,Wengwa,33,[did not use a classifier],classifier for cloud ,one cloud ,,,,
,vwa-wengwa,,Wengwa,34,?,classifier for hand ,one hand ,,,,
,vwa-wengwa,,Wengwa,35,[did not use a classifier],classifier for finger ,one finger ,,,,
,vwa-wengwa,,Wengwa,36,[did not use a classifier],classifier for leg ,one leg ,,,,
,vwa-wengwa,,Wengwa,37,mu  ,classifier for car ,one car ,,,,
,vwa-wengwa,,Wengwa,38,mu,classifier for door ,one door ,,,,
,vwa-wengwa,,Wengwa,39,do,classifier for picture ,one picture ,,,,
,vwa-wengwa,,Wengwa,40,?,classifier for grain of rice ,one grain of rice ,,,,
,vwa-wengwa,,Wengwa,41,ɔ,classifier for tea leaf ,one tea leaf ,,,,
,vwa-wengwa,,Wengwa,42,?,classifier for cup of tea ,one cup of tea ,,,,
,vwa-wengwa,,Wengwa,43,mu,classifier for cup of water ,one cup of water ,,,,
,vwa-wengwa,,Wengwa,44,ŋə,classifier for bowl of rice ,one bowl of rice ,,,,
,vwa-wengwa,,Wengwa,45,?,classifier for bed ,one bed ,,,,
,vwa-wengwa,,Wengwa,46,?,classifier for fan ,one fan ,,,,
,vwa-wengwa,,Wengwa,47,blɔk,classifier for light (bulb) ,one light (bulb) ,,,,
,vwa-wengwa,,Wengwa,48,mu,classifier for ball,one ball,,,,
,vwa-wengwa,,Wengwa,49,?,classifier for elephant,one elephant,,,,
,vwa-wengwa,,Wengwa,50,?,classifier for king,one king,,,,
,vwa-wengwa,,Wengwa,51,?,classifier for aeroplane,one aeroplane,,,,
,vwa-wengwa,,Wengwa,52,?,classifier for tiger,one tiger,,,,
,vwa-wengwa,,Wengwa,53,?,classifier for kettle,one kettle,,,,
,vwa-wengwa,,Wengwa,54,?,classifier for drum,one drum,,,,
,vwa-wengwa,,Wengwa,55,?,classifier for egg,one egg,,,,
,vwa-wengwa,,Wengwa,56,?,classifier for eye ,one eye ,,,,
,vwa-wengwa,,Wengwa,57,?,classifier for arrow,one arrow,,,,
,vwa-wengwa,,Wengwa,58,?,classifier for biscuit ,one biscuit ,,,,
,vwa-wengwa,,Wengwa,59,?,classifier for mushroom ,one mushroom ,,,,
,vwa-wengwa,,Wengwa,60,?,classifier for street ,one street ,,,,
,vwa-wengwa,,Wengwa,61,?,classifier for comb,one comb,,,,
,vwa-wengwa,,Wengwa,62,?,classifier for cow ,one cow ,,,,
,vwa-wengwa,,Wengwa,63,?,classifier for bull,one bull,,,,
,vwa-wengwa,,Wengwa,64,?,classifier for bamboo,one bamboo,,,,
,vwa-wengwa,,Wengwa,65,?,classifier for scar,one scar,,,,
,vwa-wengwa,,Wengwa,66,?,classifier for child,one child,,,,
,vwa-wengwa,,Wengwa,67,?,classifier for chilli,one chilli,,,,
,vwa-wengwa,,Wengwa,68,?,classifier for sound,one sound,,,,
,vwa-wengwa,,Wengwa,69,?,classifier for bag,one bag,,,,
,vwa-wengwa,,Wengwa,70,?,classifier for toothbrush,one toothbrush,,,,
,vwa-wengwa,,Wengwa,71,?,classifier for ear,one ear,,,,
,vwa-wengwa,,Wengwa,72,?,classifier for paper,one paper,,,,
,vwa-wengwa,,Wengwa,73,?,classifier for mirror,one mirror,,,,
,vwa-wengwa,,Wengwa,74,?,classifier for book,one book,,,,
,blr-zhanglang,,Zhanglang,1,du ,classifier for dog ,one dog,dog,,,
,blr-zhanglang,,Zhanglang,2,du,classifier for cat ,one cat,cat,,,
,blr-zhanglang,,Zhanglang,3,du,classifier for chicken ,one chicken ,chicken,,,
,blr-zhanglang,,Zhanglang,4,du,classifier for pig ,one pig ,pig,,,
,blr-zhanglang,,Zhanglang,5,du,classifier for cow ,one cow ,cow,,,
,blr-zhanglang,,Zhanglang,6,du,classifier for snake ,one snake ,snake,,,
,blr-zhanglang,,Zhanglang,7,du,classifier for fish ,one fish ,fish,,,
,blr-zhanglang,,Zhanglang,8,wʌ,classifier for hat ,one hat ,hat,,,
,blr-zhanglang,,Zhanglang,9,pʰɔn,classifier for trousers ,one trousers ,trousers,,,
,blr-zhanglang,,Zhanglang,10,pɔn,classifier for shirt ,one shirt ,shirt,,,
,blr-zhanglang,,Zhanglang,11,?,classifier for chopstick (pair) ,one chopstick (pair) ,chopstick pair,,,
,blr-zhanglang,,Zhanglang,12,?,classifier for chopstick (single) ,one chopstick (single) ,chopstick single ?,,,
,blr-zhanglang,,Zhanglang,13,?,classifier for shoe (pair),one shoe (pair),shoe pair ?,,,
,blr-zhanglang,,Zhanglang,14,kot,classifier for shoe (single),one shoe (single),shoe single,,,
,blr-zhanglang,,Zhanglang,15,mua,classifier for cushion ,one cushion ,cushion,,,
,blr-zhanglang,,Zhanglang,16,mɔk,classifier for flower ,one flower ,flower,,,
,blr-zhanglang,,Zhanglang,17,diu,classifier for tree ,one tree ,tree,,,
,blr-zhanglang,,Zhanglang,18,rang,classifier for house,one house,house,,,
,blr-zhanglang,,Zhanglang,19,moa,classifier for table ,one table ,table,,,
,blr-zhanglang,,Zhanglang,20,moa,classifier for chair ,one chair ,chair,,,
,blr-zhanglang,,Zhanglang,21,re,classifier for pen ,one pen ,pen,,,
,blr-zhanglang,,Zhanglang,22,ga,classifier for spoon ,one spoon ,a spoon,,,
,blr-zhanglang,,Zhanglang,23,de,classifier for noodle ,one noodle ,a noodle,,,
,blr-zhanglang,,Zhanglang,24,hra,classifier for leaf ,one leaf ,a leaf,,,
,blr-zhanglang,,Zhanglang,25,nha,classifier for room ,one room ,room,,,
,blr-zhanglang,,Zhanglang,26,bui,classifier for person ,one person ,person,,,
,blr-zhanglang,,Zhanglang,27,bui,classifier for teacher ,one teacher ,a teacher,,,
,blr-zhanglang,,Zhanglang,28,du,classifier for spider ,one spider ,spider,,,
,blr-zhanglang,,Zhanglang,29,moa,classifier for stone ,one stone ,stone,,,
,blr-zhanglang,,Zhanglang,30,hra,classifier for boat ,one boat ,boat,,,
,blr-zhanglang,,Zhanglang,31,moa,classifier for banana ,one banana ,banana,,,
,blr-zhanglang,,Zhanglang,32,moa,classifier for papaya,one papaya,mugua,,,
,blr-zhanglang,,Zhanglang,33,nok,classifier for cloud ,one cloud ,cloud,,,
,blr-zhanglang,,Zhanglang,34,kuan,classifier for hand ,one hand ,hand,,,
,blr-zhanglang,,Zhanglang,35,de,classifier for finger ,one finger ,finger,,,
,blr-zhanglang,,Zhanglang,36,de,classifier for leg ,one leg ,leg,,,
,blr-zhanglang,,Zhanglang,37,hrang,classifier for car ,one car ,car,,,
,blr-zhanglang,,Zhanglang,38,de,classifier for door ,one door ,door,,,
,blr-zhanglang,,Zhanglang,39,de,classifier for picture ,one picture ,picture,,,
,blr-zhanglang,,Zhanglang,40,men,classifier for grain of rice ,one grain of rice ,grain of rice,,,
,blr-zhanglang,,Zhanglang,41,?,classifier for tea leaf ,one tea leaf ,tea leaf,,,
,blr-zhanglang,,Zhanglang,42,gom,classifier for cup of tea ,one cup of tea ,cup of tea,,,
,blr-zhanglang,,Zhanglang,43,kuot,classifier for cup of water ,one cup of water ,cup of water,,,
,blr-zhanglang,,Zhanglang,44,jum,classifier for bowl of rice ,one bowl of rice ,bowl of rice,,,
,blr-zhanglang,,Zhanglang,45,?,classifier for bed ,one bed ,bed,,,
,blr-zhanglang,,Zhanglang,46,de,classifier for fan ,one fan ,fan,,,
,blr-zhanglang,,Zhanglang,47,moa,classifier for light (bulb) ,one light (bulb) ,light (bulb),,,
,blr-zhanglang,,Zhanglang,48,?,classifier for ball,one ball,ball,,,
,blr-zhanglang,,Zhanglang,49,?,classifier for elephant,one elephant,elephant,,,
,blr-zhanglang,,Zhanglang,50,bui,classifier for king,one king,king,,,
,blr-zhanglang,,Zhanglang,51,hrang,classifier for aeroplane,one aeroplane,aeroplane,,,
,blr-zhanglang,,Zhanglang,52,du,classifier for tiger,one tiger,tiger,,,
,blr-zhanglang,,Zhanglang,53,?,classifier for kettle,one kettle,kettle,,,
,blr-zhanglang,,Zhanglang,54,moa,classifier for drum,one drum,drum,,,
,blr-zhanglang,,Zhanglang,55,moa,classifier for egg,one egg,egg,,,
,blr-zhanglang,,Zhanglang,56,moa,classifier for eye ,one eye ,eye,,,
,blr-zhanglang,,Zhanglang,57,tit,classifier for arrow,one arrow,arrow,,,
,blr-zhanglang,,Zhanglang,58,de,classifier for biscuit ,one biscuit ,biscuit,,,
,blr-zhanglang,,Zhanglang,59,hra,classifier for mushroom ,one mushroom ,mushroom,,,
,blr-zhanglang,,Zhanglang,60,se,classifier for street ,one street ,street,,,
,blr-zhanglang,,Zhanglang,61,de,classifier for comb,one comb,comb,,,
,blr-zhanglang,,Zhanglang,62,du,classifier for cow ,one cow ,cow,,,
,blr-zhanglang,,Zhanglang,63,du,classifier for bull,one bull,bull,,,
,blr-zhanglang,,Zhanglang,64,moa,classifier for bamboo,one bamboo,bamboo,,,
,blr-zhanglang,,Zhanglang,65,?,classifier for scar,one scar,scar,,,
,blr-zhanglang,,Zhanglang,66,bui,classifier for child,one child,child,,,
,blr-zhanglang,,Zhanglang,67,moa,classifier for chilli,one chilli,chilli,,,
,blr-zhanglang,,Zhanglang,68,?,classifier for sound,one sound,sound,,,
,blr-zhanglang,,Zhanglang,69,moa,classifier for bag,one bag,bag,,,
,blr-zhanglang,,Zhanglang,70,de,classifier for toothbrush,one toothbrush,toothbrush,,,
,blr-zhanglang,,Zhanglang,71,de,classifier for ear,one ear,ear,,,
,blr-zhanglang,,Zhanglang,72,hra,classifier for paper,one paper,paper,,,
,blr-zhanglang,,Zhanglang,73,moa,classifier for mirror,one mirror,mirror,,,
,blr-zhanglang,,Zhanglang,74,moa,classifier for book,one book,book,,,
