ID,Town_Name,Name,Latitude,Longitude,Glottocode,ISO639P3code
vwa-ximeng,Ximeng,Lavia-Awalai-Damangnuo Awa,22.65,99.59,awac-1238,vwa
uuu-bangxie,Bangxie,U,23.56,99.81,uuuu1243,uuu
vwa-wengwa,Wengwa,Lavia-Awalai-Damangnuo Awa,22.18,100,awac-1238,vwa
vwa-mangjing,Mangjing,Lavia-Awalai-Damangnuo Awa,22.66,99.94,awac-1238,vwa
vwa-manghong,Manghong,Lavia-Awalai-Damangnuo Awa,22.32,100.33,awac-1238,vwa
wbm-wengding,Wengding,Zhenkang Wa,23.28,99.17,nucl1290,wbm
vwa-menglian,Menglian,Lavia-Awalai-Damangnuo Awa,22.33,99.58,awac-1238,vwa
vwa-gongxin,Gongxin,Lavia-Awalai-Damangnuo Awa,22.30,99.32,awac-1238,vwa
blr-zhanglang,Zhanglang,Blang,21.92,100.12,blan1242,blr
blr-bada,Bada,Blang,21.85,100.06,blan1242,blr
blr-bulangshan,Bulangshan,Blang,21.58,100.42,blan1242,blr
wbm-xiaomenge,Xiaomenge,Zhenkang Wa,23.57,99.82,nucl1290,wbm
huo-kunge,Kunge,Hu,22.18,100.92,huuu1240,huo